SPRINT 2 RATIO EDGE CASE LOG
============================================================

BHARTIARTL | 2017-03 | ROE difference = 8.61% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2018-03 | ROE difference = 11.76% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2019-03 | ROE difference = 12.54% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2020-03 | ROCE difference = 13.62% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2020-03 | ROE difference = 54.65% | Category: VERSION_DIFFERENCE
BHARTIARTL | 2021-03 | ROCE difference = 5.42% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2021-03 | ROE difference = 35.87% | Category: VERSION_DIFFERENCE
BHARTIARTL | 2022-03 | ROCE difference = 13.23% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2023-03 | ROCE difference = 10.71% | Category: FORMULA_DISCREPANCY
BHARTIARTL | 2024-03 | ROCE difference = 12.00% | Category: FORMULA_DISCREPANCY
BHEL | 2013-03 | ROCE difference = 28.65% | Category: VERSION_DIFFERENCE
BHEL | 2013-03 | ROE difference = 20.86% | Category: VERSION_DIFFERENCE
BHEL | 2014-03 | ROCE difference = 13.08% | Category: FORMULA_DISCREPANCY
BHEL | 2014-03 | ROE difference = 9.51% | Category: FORMULA_DISCREPANCY
BHEL | 2015-03 | ROCE difference = 6.03% | Category: FORMULA_DISCREPANCY
BHEL | 2020-03 | ROE difference = 6.17% | Category: FORMULA_DISCREPANCY
BHEL | 2021-03 | ROCE difference = 11.87% | Category: FORMULA_DISCREPANCY
BHEL | 2021-03 | ROE difference = 11.44% | Category: FORMULA_DISCREPANCY
BOSCHLTD | 2012-12 | ROCE difference = 9.02% | Category: FORMULA_DISCREPANCY
BOSCHLTD | 2015-03 | ROCE difference = 13.16% | Category: FORMULA_DISCREPANCY
BOSCHLTD | 2016-03 | ROCE difference = 5.49% | Category: FORMULA_DISCREPANCY
BOSCHLTD | 2017-03 | ROCE difference = 12.07% | Category: FORMULA_DISCREPANCY
BOSCHLTD | 2019-03 | ROCE difference = 9.57% | Category: FORMULA_DISCREPANCY
BOSCHLTD | 2020-03 | ROCE difference = 5.85% | Category: FORMULA_DISCREPANCY
BOSCHLTD | 2020-03 | ROE difference = 8.99% | Category: FORMULA_DISCREPANCY
BOSCHLTD | 2021-03 | ROCE difference = 11.27% | Category: FORMULA_DISCREPANCY
BOSCHLTD | 2021-03 | ROE difference = 11.09% | Category: FORMULA_DISCREPANCY
BOSCHLTD | 2024-03 | ROCE difference = 9.65% | Category: FORMULA_DISCREPANCY
BPCL | 2013-03 | ROCE difference = 15.68% | Category: FORMULA_DISCREPANCY
BPCL | 2013-03 | ROE difference = 30.36% | Category: VERSION_DIFFERENCE
BPCL | 2014-03 | ROCE difference = 11.64% | Category: FORMULA_DISCREPANCY
BPCL | 2014-03 | ROE difference = 21.05% | Category: VERSION_DIFFERENCE
BPCL | 2015-03 | ROCE difference = 7.34% | Category: FORMULA_DISCREPANCY
BPCL | 2015-03 | ROE difference = 19.38% | Category: FORMULA_DISCREPANCY
BPCL | 2016-03 | ROE difference = 12.80% | Category: FORMULA_DISCREPANCY
BPCL | 2017-03 | ROCE difference = 7.30% | Category: FORMULA_DISCREPANCY
BPCL | 2017-03 | ROE difference = 11.05% | Category: FORMULA_DISCREPANCY
BPCL | 2018-03 | ROCE difference = 7.54% | Category: FORMULA_DISCREPANCY
BPCL | 2018-03 | ROE difference = 15.16% | Category: FORMULA_DISCREPANCY
BPCL | 2019-03 | ROCE difference = 10.47% | Category: FORMULA_DISCREPANCY
BPCL | 2019-03 | ROE difference = 19.90% | Category: FORMULA_DISCREPANCY
BPCL | 2020-03 | ROCE difference = 21.94% | Category: VERSION_DIFFERENCE
BPCL | 2020-03 | ROE difference = 31.86% | Category: VERSION_DIFFERENCE
BPCL | 2021-03 | ROCE difference = 5.74% | Category: FORMULA_DISCREPANCY
BPCL | 2021-03 | ROE difference = 9.56% | Category: FORMULA_DISCREPANCY
BPCL | 2022-03 | ROCE difference = 11.42% | Category: FORMULA_DISCREPANCY
BPCL | 2022-03 | ROE difference = 19.39% | Category: FORMULA_DISCREPANCY
BPCL | 2023-03 | ROCE difference = 21.58% | Category: VERSION_DIFFERENCE
BPCL | 2023-03 | ROE difference = 37.92% | Category: VERSION_DIFFERENCE
BPCL | 2024-03 | ROE difference = 6.39% | Category: FORMULA_DISCREPANCY
BRITANNIA | 2013-03 | ROE difference = 10.51% | Category: FORMULA_DISCREPANCY
BRITANNIA | 2014-03 | ROCE difference = 20.83% | Category: VERSION_DIFFERENCE
BRITANNIA | 2014-03 | ROE difference = 7.60% | Category: FORMULA_DISCREPANCY
BRITANNIA | 2015-03 | ROCE difference = 30.09% | Category: VERSION_DIFFERENCE
BRITANNIA | 2016-03 | ROCE difference = 11.33% | Category: FORMULA_DISCREPANCY
BRITANNIA | 2016-03 | ROE difference = 17.66% | Category: FORMULA_DISCREPANCY
BRITANNIA | 2017-03 | ROE difference = 24.27% | Category: VERSION_DIFFERENCE
BRITANNIA | 2018-03 | ROE difference = 27.62% | Category: VERSION_DIFFERENCE
BRITANNIA | 2019-03 | ROE difference = 29.94% | Category: VERSION_DIFFERENCE
BRITANNIA | 2020-03 | ROCE difference = 13.45% | Category: FORMULA_DISCREPANCY
BRITANNIA | 2020-03 | ROE difference = 25.44% | Category: VERSION_DIFFERENCE
BRITANNIA | 2023-03 | ROE difference = 8.43% | Category: FORMULA_DISCREPANCY
BRITANNIA | 2024-03 | ROCE difference = 7.34% | Category: FORMULA_DISCREPANCY
CANBK | 2013-03 | ROE difference = 6.00% | Category: FORMULA_DISCREPANCY
CANBK | 2014-03 | ROE difference = 9.05% | Category: FORMULA_DISCREPANCY
CANBK | 2015-03 | ROE difference = 8.88% | Category: FORMULA_DISCREPANCY
CANBK | 2016-03 | ROE difference = 25.72% | Category: VERSION_DIFFERENCE
CANBK | 2017-03 | ROE difference = 13.83% | Category: FORMULA_DISCREPANCY
CANBK | 2018-03 | ROE difference = 28.40% | Category: VERSION_DIFFERENCE
CANBK | 2019-03 | ROE difference = 16.05% | Category: FORMULA_DISCREPANCY
CANBK | 2020-03 | ROE difference = 22.56% | Category: VERSION_DIFFERENCE
CANBK | 2021-03 | ROE difference = 13.16% | Category: FORMULA_DISCREPANCY
CANBK | 2022-03 | ROE difference = 9.10% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2013-03 | ROCE difference = 6.30% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2014-03 | ROCE difference = 5.73% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2015-03 | ROCE difference = 5.63% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2016-03 | ROCE difference = 5.49% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2017-03 | ROCE difference = 5.66% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2018-03 | ROCE difference = 7.00% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2019-03 | ROCE difference = 7.48% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2020-03 | ROCE difference = 6.54% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2020-03 | ROE difference = 7.35% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2021-03 | ROCE difference = 6.40% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2022-03 | ROCE difference = 6.75% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2023-03 | ROCE difference = 7.13% | Category: FORMULA_DISCREPANCY
CHOLAFIN | 2024-03 | ROCE difference = 6.89% | Category: FORMULA_DISCREPANCY
CIPLA | 2013-03 | ROCE difference = 38.21% | Category: VERSION_DIFFERENCE
